Protein.Group	b14_02	b14_21
MH0356_GL0152792  [gene]  locus=scaffold19610_3:1:705:+ [Lack 5'-end] codon-table.11	4828.73	7957.51
MH0358_GL0026334  [gene]  locus=scaffold27265_15:8205:10508:+ [Complete] codon-table.11	47750.2	12361.3
MH0358_GL0033673  [gene]  locus=scaffold44751_3:16416:16673:+ [Complete] codon-table.11	NA	6618.7
MH0359_GL0120883  [gene]  locus=scaffold56532_1:2837:3808:+ [Complete] codon-table.11	NA	1801.02
MH0361_GL0045501  [gene]  locus=scaffold1141_5:351:1958:- [Complete] codon-table.11	663074	413636
MH0365_GL0135523  [gene]  locus=scaffold54625_9:2:838:+ [Lack both ends] codon-table.11	211594	NA
MH0367_GL0050854  [gene]  locus=scaffold85351_2:3:2165:+ [Lack 5'-end] codon-table.11	2.55652e+06	29072
MH0370_GL0029760  [gene]  locus=scaffold87499_1:1334:2758:+ [Complete] codon-table.11	10120.3	30335.9
MH0371_GL0087622  [gene]  locus=scaffold50606_4:2:1222:+ [Lack 5'-end] codon-table.11	NA	11549.6
MH0372_GL0033251  [gene]  locus=scaffold27170_9:1809:3353:- [Complete] codon-table.11	42210.4	7938.38
MH0372_GL0043015  [gene]  locus=scaffold80949_2:2174:3628:- [Complete] codon-table.11	8302.19	6565.23
MH0373_GL0050012  [gene]  locus=scaffold26856_4:295:1011:+ [Lack 3'-end] codon-table.11	NA	18573.1
MH0373_GL0116967  [gene]  locus=scaffold58922_2:697:1719:- [Complete] codon-table.11	67909.5	9945.22
MH0376_GL0120645  [gene]  locus=scaffold94997_1:8094:9095:- [Complete] codon-table.11	2.72097e+06	207538
MH0377_GL0051513  [gene]  locus=scaffold78507_1:2:391:+ [Lack 5'-end] codon-table.11	NA	2660.56
MH0377_GL0162010  [gene]  locus=scaffold72728_5:3650:4159:+ [Complete] codon-table.11	41861.6	41322.2
MH0377_GL0222732  [gene]  locus=scaffold32395_3:19002:19697:+ [Complete] codon-table.11	24284.1	NA
MH0378_GL0156280  [gene]  locus=scaffold95535_1:1:771:- [Lack both ends] codon-table.11	NA	2221.99
MH0381_GL0041614  [gene]  locus=scaffold44555_3:22224:24860:- [Complete] codon-table.11	33878	75071.6
MH0381_GL0118587  [gene]  locus=scaffold66542_1:3:1802:+ [Lack 5'-end] codon-table.11	42775.3	122688
MH0381_GL0148015  [gene]  locus=scaffold30895_1:18549:19736:+ [Complete] codon-table.11	40624	NA
MH0385_GL0030117  [gene]  locus=C1778906_1:116:1327:- [Lack 5'-end] codon-table.11	171096	29468.9
MH0385_GL0075391  [gene]  locus=scaffold39903_1:11508:13808:+ [Complete] codon-table.11	27055.3	NA
MH0385_GL0116243  [gene]  locus=scaffold104423_2:1171:1920:+ [Complete] codon-table.11	29324.2	NA
MH0385_GL0121908  [gene]  locus=scaffold8683_2:301:675:+ [Complete] codon-table.11	NA	44946.2
MH0385_GL0206702  [gene]  locus=scaffold124732_1:1128:3749:- [Complete] codon-table.11	154236	129394
MH0389_GL0025499  [gene]  locus=scaffold117422_1:4746:6836:- [Complete] codon-table.11	214701	1424.97
MH0389_GL0029301  [gene]  locus=scaffold13915_4:92:382:+ [Complete] codon-table.11	NA	2889.79
MH0389_GL0063168  [gene]  locus=scaffold40641_5:2038:2295:- [Complete] codon-table.11	8438.19	7722.04
MH0389_GL0130251  [gene]  locus=scaffold118556_1:6443:6964:- [Complete] codon-table.11	18673.5	14309
MH0389_GL0154539  [gene]  locus=scaffold109700_1:1267:1998:+ [Lack 3'-end] codon-table.11	5344.54	3088.93
MH0389_GL0174798  [gene]  locus=scaffold56763_2:592:4416:+ [Complete] codon-table.11	126932	30548.9
MH0390_GL0033768  [gene]  locus=scaffold55362_1:1:1119:+ [Lack 5'-end] codon-table.11	NA	2138.21
MH0390_GL0125747  [gene]  locus=scaffold69887_2:1:555:+ [Lack both ends] codon-table.11	9318.23	NA
MH0393_GL0083918  [gene]  locus=scaffold11007_2:3:869:- [Lack both ends] codon-table.11	14275.2	17567.4
MH0400_GL0080982  [gene]  locus=scaffold70383_2:2074:2931:+ [Complete] codon-table.11	495262	NA
MH0402_GL0025865  [gene]  locus=scaffold55774_20:5254:6702:+ [Lack 3'-end] codon-table.11	NA	5847.06
MH0402_GL0168365  [gene]  locus=scaffold88437_1:109:948:- [Complete] codon-table.11	10732.6	NA
MH0406_GL0147645  [gene]  locus=scaffold66760_4:2:826:+ [Lack 5'-end] codon-table.11	76977.1	NA
MH0407_GL0127135  [gene]  locus=scaffold39803_3:6517:9774:- [Complete] codon-table.11	42013.1	NA
MH0408_GL0013184  [gene]  locus=scaffold17800_1:21:233:+ [Complete] codon-table.11	70535.9	70078.1
MH0409_GL0082970  [gene]  locus=scaffold2631_15:1833:2795:+ [Lack 3'-end] codon-table.11	NA	19522.5
MH0412_GL0094349  [gene]  locus=scaffold97694_2:37055:38569:+ [Complete] codon-table.11	13220.1	20314.1
MH0412_GL0096195  [gene]  locus=scaffold70983_2:14229:14627:+ [Complete] codon-table.11	154842	NA
MH0413_GL0200687  [gene]  locus=scaffold31175_1:1356:2678:- [Complete] codon-table.11	7470.31	NA
MH0414_GL0038383  [gene]  locus=scaffold41945_1:1:330:- [Lack 3'-end] codon-table.11	18746.3	48709.3
MH0415_GL0240971  [gene]  locus=scaffold132678_4:82788:86489:- [Complete] codon-table.11	57094.2	45927.7
MH0421_GL0021620  [gene]  locus=scaffold140292_1:682:1299:+ [Complete] codon-table.11	30120.4	128045
MH0422_GL0145500  [gene]  locus=scaffold64184_7:524:949:+ [Complete] codon-table.11	22280.9	79610.6
MH0431_GL0151069  [gene]  locus=scaffold56776_2:39265:40620:- [Complete] codon-table.11	8766.96	NA
MH0432_GL0032032  [gene]  locus=scaffold579_2:3:1316:+ [Lack 5'-end] codon-table.11	17915.3	NA
MH0433_GL0173376  [gene]  locus=scaffold61490_6:441:1466:+ [Complete] codon-table.11	67666.6	NA
MH0433_GL0213379  [gene]  locus=scaffold16498_5:552:2177:- [Complete] codon-table.11	8823.12	7090.88
MH0433_GL0227617  [gene]  locus=scaffold1139_2:151:1350:+ [Lack 3'-end] codon-table.11	NA	3740.79
MH0434_GL0080937  [gene]  locus=scaffold76263_12:10512:10859:- [Complete] codon-table.11	NA	47646.6
MH0434_GL0217453  [gene]  locus=scaffold76079_4:1:543:- [Lack both ends] codon-table.11	167789	87315.7
MH0437_GL0149308  [gene]  locus=scaffold91845_9_1:15232:18006:+ [Complete] codon-table.11	66493.4	NA
MH0437_GL0163589  [gene]  locus=scaffold52630_2:256:924:- [Lack 5'-end] codon-table.11	1683.91	5221.69
MH0437_GL0266761  [gene]  locus=scaffold6939_2:1085:3607:- [Complete] codon-table.11	16355.1	4838.78
MH0439_GL0140099  [gene]  locus=scaffold65061_2:13742:14947:- [Complete] codon-table.11	126493	12188.7
MH0442_GL0171854  [gene]  locus=scaffold142164_1:518:2449:+ [Complete] codon-table.11	10954.4	11528.2
MH0445_GL0073145  [gene]  locus=C1678367_1:1:543:- [Lack both ends] codon-table.11	10340.5	NA
MH0448_GL0015869  [gene]  locus=scaffold178940_2:286:1452:+ [Complete] codon-table.11	67520.5	94498.8
MH0448_GL0107970  [gene]  locus=scaffold112246_14:2396:3589:+ [Complete] codon-table.11	14531.5	295968
MH0450_GL0212819  [gene]  locus=scaffold51235_15:1324:2703:- [Complete] codon-table.11	5478.95	NA
MH0454_GL0190916  [gene]  locus=scaffold2514_1:1:567:+ [Lack 5'-end] codon-table.11	NA	1655.84
MH0456_GL0115094  [gene]  locus=scaffold31881_5:1554:2900:- [Lack 5'-end] codon-table.11	40551.9	7143.33
MH0457_GL0265018  [gene]  locus=scaffold172861_1:2744:4672:+ [Complete] codon-table.11	42261.3	167716
MH0458_GL0182669  [gene]  locus=scaffold11737_1:3:2831:+ [Lack 5'-end] codon-table.11	14499.6	NA
N013A_GL0045648  [gene]  locus=scaffold59469_1:5039:6394:+ [Complete] codon-table.11	9895.51	3934.68
N037A_GL0039670  [gene]  locus=scaffold64774_4:1589:2587:+ [Complete] codon-table.11	326294	11235.7
N047A_GL0082718  [gene]  locus=scaffold16829_1:3:629:+ [Lack both ends] codon-table.11	NA	9696.24
N056A_GL0035389  [gene]  locus=scaffold30873_1:2:2623:+ [Lack both ends] codon-table.11	37277.3	91322.8
N075A_GL0045434  [gene]  locus=scaffold58069_1:31041:32744:+ [Complete] codon-table.11	NA	18072.4
N083A_GL0014387  [gene]  locus=scaffold37881_5:423:971:+ [Lack 3'-end] codon-table.11	70387.1	143447
N085A_GL0063783  [gene]  locus=scaffold31864_1:65431:67551:+ [Complete] codon-table.11	31638.2	18298.7
N087A_GL0036390  [gene]  locus=scaffold16724_4:3:179:- [Lack 3'-end] codon-table.11	26611	NA
NLF002_GL0035223  [gene]  locus=scaffold15474_15:2470:3759:- [Complete] codon-table.11	231437	155557
NLF005_GL0042379  [gene]  locus=scaffold1430_1:1335:2741:+ [Complete] codon-table.11	NA	1382.95
NLF007_GL0039190  [gene]  locus=scaffold8041_2:2:439:+ [Lack 5'-end] codon-table.11	20428.1	NA
NLF007_GL0074228  [gene]  locus=scaffold2130_11:1:711:- [Lack both ends] codon-table.11	113946	NA
NLM022_GL0077515  [gene]  locus=scaffold34328_1:125:592:- [Complete] codon-table.11	NA	667.633
NLM026_GL0105071  [gene]  locus=scaffold75453_1:71536:71976:- [Complete] codon-table.11	3707.54	4765.17
NLM027_GL0076654  [gene]  locus=scaffold17706_6:678:2063:+ [Lack 3'-end] codon-table.11	NA	3567.18
NLM031_GL0025221  [gene]  locus=scaffold6775_4:5605:6264:- [Lack 5'-end] codon-table.11	154370	NA
NLM031_GL0047477  [gene]  locus=scaffold73_2:4302:5276:+ [Complete] codon-table.11	139198	12099.2
NLM032_GL0042211  [gene]  locus=scaffold40471_1:3:1007:+ [Lack both ends] codon-table.11	NA	1927.55
NOF010_GL0020186  [gene]  locus=scaffold31144_9:9533:10819:+ [Complete] codon-table.11	56054.4	8633.03
NOF013_GL0054476  [gene]  locus=scaffold73_15:848:1882:+ [Complete] codon-table.11	116280	13352.3
NOF013_GL0069648  [gene]  locus=scaffold16332_1:19979:22459:- [Complete] codon-table.11	22474.5	NA
NOM002_GL0026844  [gene]  locus=scaffold161_1:62097:63602:- [Complete] codon-table.11	45047.3	2310.79
NOM026_GL0021166  [gene]  locus=scaffold561_3:257:1495:- [Complete] codon-table.11	NA	12029.1
O2.CD1-0-PT_GL0035189  [gene]  locus=scaffold22966_2:37077:38744:+ [Complete] codon-table.11	12704.5	NA
O2.CD1-0-PT_GL0040017  [gene]  locus=scaffold37187_2:3203:4537:- [Complete] codon-table.11	378144	604731
O2.CD2-0-PT_GL0002067  [gene]  locus=scaffold19893_1:27789:28412:- [Complete] codon-table.11	NA	23388.6
O2.CD2-0_GL0067511  [gene]  locus=scaffold45855_1:9636:11693:+ [Complete] codon-table.11	39103.5	NA
O2.CD3-0-PT_GL0064000  [gene]  locus=scaffold24092_1:3016:4671:- [Lack 5'-end] codon-table.11	267649	63759.6
O2.CD3-0-PT_GL0107880  [gene]  locus=scaffold157_1:962:1594:+ [Complete] codon-table.11	43118.6	20177.2
O2.CD3-0-PT_GL0115878  [gene]  locus=scaffold78670_1:949:2013:- [Complete] codon-table.11	8574.9	2412.2
O2.CD3-0-PT_GL0171651  [gene]  locus=scaffold65255_1:3:1379:- [Lack 3'-end] codon-table.11	50421.8	205699
O2.CD3-0-PT_GL0189461  [gene]  locus=scaffold9536_2:7486:8223:- [Complete] codon-table.11	25158.3	32478.9
O2.UC1-0_GL0025713  [gene]  locus=scaffold9252_4:2:691:+ [Lack 5'-end] codon-table.11	41527.3	NA
O2.UC1-2_GL0017058  [gene]  locus=scaffold82159_2:3439:3630:- [Lack 5'-end] codon-table.11	233926	NA
O2.UC1-2_GL0091686  [gene]  locus=scaffold109306_1:3:1544:- [Lack 3'-end] codon-table.11	58131.3	7023.49
O2.UC1-2_GL0162923  [gene]  locus=scaffold63816_2:606:1442:- [Complete] codon-table.11	4232.42	3825.31
O2.UC11-2_GL0001946  [gene]  locus=scaffold977_1:3:635:+ [Lack both ends] codon-table.11	788394	18515.6
O2.UC11-2_GL0030688  [gene]  locus=scaffold6013_5:2:1186:+ [Lack 5'-end] codon-table.11	5040.94	4925.99
O2.UC11-2_GL0032512  [gene]  locus=scaffold5696_9:6840:8399:- [Complete] codon-table.11	68236.4	44839
O2.UC12-1_GL0156190  [gene]  locus=scaffold857_1:305:1000:- [Lack 5'-end] codon-table.11	267507	57154.8
O2.UC12-2_GL0031978  [gene]  locus=scaffold65141_3:2:517:- [Lack both ends] codon-table.11	NA	6326.06
O2.UC14-1_GL0150373  [gene]  locus=scaffold6734_8:2:460:+ [Lack 5'-end] codon-table.11	415560	22384.8
O2.UC15-0_GL0002094  [gene]  locus=scaffold32150_7:11763:12281:- [Complete] codon-table.11	12221.6	3774.43
O2.UC15-0_GL0067565  [gene]  locus=scaffold5060_3:311:1699:- [Complete] codon-table.11	NA	9950
O2.UC15-1_GL0007728  [gene]  locus=scaffold10424_3:2002:3489:+ [Complete] codon-table.11	NA	11106.9
O2.UC15-2_GL0047446  [gene]  locus=scaffold56362_7:1:1311:+ [Lack 5'-end] codon-table.11	23663.8	46906.6
O2.UC16-1_GL0056008  [gene]  locus=scaffold88453_1:1418:3256:- [Complete] codon-table.11	33315.7	NA
O2.UC19-1_GL0020611  [gene]  locus=scaffold28245_1:37223:38803:+ [Complete] codon-table.11	NA	3565.93
O2.UC19-1_GL0085858  [gene]  locus=scaffold26485_1:6729:9701:+ [Complete] codon-table.11	30019.2	4385.29
O2.UC19-2_GL0006821  [gene]  locus=scaffold6127_4:203:889:- [Lack 5'-end] codon-table.11	19206.2	NA
O2.UC20-1_GL0070924  [gene]  locus=scaffold23194_5:496:966:+ [Complete] codon-table.11	94636.2	87565.9
O2.UC24-2_GL0011763  [gene]  locus=scaffold29407_3:3612:3968:- [Lack 5'-end] codon-table.11	2052.51	NA
O2.UC26-1_GL0012827  [gene]  locus=C257449_1:3:545:+ [Lack both ends] codon-table.11	23927.4	47400.6
O2.UC28-0_GL0177312  [gene]  locus=scaffold65304_3:2:730:+ [Lack 5'-end] codon-table.11	5985.28	10903.7
O2.UC30-0_GL0018369  [gene]  locus=scaffold40181_4:136:783:+ [Complete] codon-table.11	29414.6	5310.18
O2.UC30-1_GL0110213  [gene]  locus=scaffold2757_1:822:1211:+ [Lack 3'-end] codon-table.11	7296.72	6606.33
O2.UC30-1_GL0166449  [gene]  locus=scaffold64447_1:19190:20671:+ [Complete] codon-table.11	9125.91	NA
O2.UC31-0_GL0061897  [gene]  locus=scaffold19473_8:3:464:- [Lack 3'-end] codon-table.11	25244	NA
O2.UC31-1_GL0168987  [gene]  locus=scaffold50024_1:15758:18457:+ [Lack 3'-end] codon-table.11	NA	2794.35
O2.UC31-2_GL0055008  [gene]  locus=scaffold82536_2:3:884:- [Lack 3'-end] codon-table.11	11595	NA
O2.UC31-2_GL0087171  [gene]  locus=scaffold5663_1:3:827:+ [Lack both ends] codon-table.11	54719	24957.8
O2.UC35-0_GL0052172  [gene]  locus=scaffold27738_1:2:640:+ [Lack 5'-end] codon-table.11	7523.28	22197.2
O2.UC36-0_GL0035328  [gene]  locus=scaffold47791_1:3:842:+ [Lack 5'-end] codon-table.11	NA	34621
O2.UC36-0_GL0164929  [gene]  locus=scaffold73327_1:226:1101:+ [Complete] codon-table.11	9579.07	15332.6
O2.UC36-2_GL0005928  [gene]  locus=scaffold259_3:2:403:+ [Lack 5'-end] codon-table.11	4093.43	4825.97
O2.UC37-0_GL0035042  [gene]  locus=scaffold33152_3:45:1079:- [Lack 5'-end] codon-table.11	34758.8	NA
O2.UC40-1_GL0085028  [gene]  locus=scaffold34768_5:428:571:- [Lack 5'-end] codon-table.11	16952.7	NA
O2.UC41-1_GL0179726  [gene]  locus=scaffold44543_1:10814:11914:- [Complete] codon-table.11	37069.4	4781.72
O2.UC41-1_GL0201535  [gene]  locus=scaffold759_1:52158:53645:- [Complete] codon-table.11	4370.29	NA
O2.UC43-0_GL0054854  [gene]  locus=scaffold27235_2:260:598:+ [Complete] codon-table.11	93979.2	NA
O2.UC43-2_GL0054545  [gene]  locus=scaffold30891_1:380:838:+ [Lack 3'-end] codon-table.11	6330.89	NA
O2.UC44-2_GL0124520  [gene]  locus=scaffold128039_3:7615:8040:+ [Complete] codon-table.11	NA	3577.18
O2.UC46-1_GL0055169  [gene]  locus=scaffold31283_1:117:1112:+ [Complete] codon-table.11	NA	94289.3
O2.UC47-2_GL0070787  [gene]  locus=scaffold88929_1:246:1034:+ [Lack 3'-end] codon-table.11	NA	14176.8
O2.UC47-2_GL0084279  [gene]  locus=scaffold28917_11:870:3122:+ [Complete] codon-table.11	145142	561036
O2.UC48-0_GL0016850  [gene]  locus=C1983239_1:178:771:- [Lack 5'-end] codon-table.11	23443.2	289316
O2.UC48-0_GL0026589  [gene]  locus=scaffold58230_15:1379:2599:+ [Complete] codon-table.11	NA	13220.7
O2.UC48-0_GL0067553  [gene]  locus=scaffold8660_1:1008:2018:+ [Complete] codon-table.11	2.07761e+06	532731
O2.UC48-0_GL0194480  [gene]  locus=scaffold46303_16:4742:5920:+ [Complete] codon-table.11	NA	26299.4
O2.UC48-0_GL0229333  [gene]  locus=scaffold95831_2:933:1892:- [Lack 5'-end] codon-table.11	112193	87909.5
O2.UC48-1_GL0066693  [gene]  locus=scaffold807_8:2:1423:+ [Lack 5'-end] codon-table.11	8416.73	NA
O2.UC48-1_GL0138538  [gene]  locus=scaffold48939_1:1:504:- [Lack 3'-end] codon-table.11	12254.9	12372.1
O2.UC48-1_GL0231303  [gene]  locus=scaffold60979_1:3:413:+ [Lack 5'-end] codon-table.11	673843	369421
O2.UC49-0_GL0126417  [gene]  locus=scaffold5427_12:2311:3324:- [Complete] codon-table.11	NA	8788.92
O2.UC53-0_GL0121379  [gene]  locus=scaffold26227_1:2241:3575:+ [Complete] codon-table.11	42392	73858.6
O2.UC53-0_GL0250574  [gene]  locus=scaffold4411_10:1111:1488:- [Lack 5'-end] codon-table.11	17475.2	5253.53
O2.UC54-0_GL0038963  [gene]  locus=scaffold62400_1:229:1119:+ [Lack 3'-end] codon-table.11	195518	34890.9
O2.UC57-2_GL0024171  [gene]  locus=scaffold412_1:631:1656:- [Complete] codon-table.11	4119.02	NA
O2.UC59-2_GL0054788  [gene]  locus=scaffold8998_6:7973:9085:+ [Complete] codon-table.11	32446.6	31128.3
O2.UC60-0_GL0127173  [gene]  locus=scaffold107957_2:1:1002:- [Lack both ends] codon-table.11	175049	32013
O2.UC7-1_GL0032402  [gene]  locus=scaffold20375_1:25996:27078:+ [Complete] codon-table.11	19849.3	46045.8
O2.UC8-2_GL0036959  [gene]  locus=scaffold29584_5:231:1061:+ [Complete] codon-table.11	10046.2	5098.69
SZEY-103A_GL0074872  [gene]  locus=scaffold49884_1:3:1661:+ [Lack 5'-end] codon-table.11	131792	NA
SZEY-10A_GL0053902  [gene]  locus=scaffold2590_13:1777:2517:- [Complete] codon-table.11	28014.3	NA
SZEY-39A_GL0071586  [gene]  locus=scaffold11122_1:37724:39217:+ [Complete] codon-table.11	61926.3	6418.85
SZEY-41A_GL0005116  [gene]  locus=scaffold18605_3:7400:8170:- [Lack 5'-end] codon-table.11	245964	25165.6
SZEY-78A_GL0051543  [gene]  locus=scaffold8780_7:224:811:+ [Complete] codon-table.11	NA	2259.78
SZEY-97A_GL0059457  [gene]  locus=scaffold31668_2:829:2760:+ [Complete] codon-table.11	1.14024e+06	224399
T2D-107A_GL0011039  [gene]  locus=scaffold68535_1:4283:5677:- [Complete] codon-table.11	18794.5	NA
T2D-107A_GL0032354  [gene]  locus=scaffold35611_8:2:2476:+ [Lack 5'-end] codon-table.11	448397	454619
T2D-108A_GL0033294  [gene]  locus=scaffold52552_3:3:962:+ [Lack 5'-end] codon-table.11	8060.52	NA
T2D-110A_GL0017208  [gene]  locus=scaffold872_23:1:999:- [Lack 3'-end] codon-table.11	NA	1454.87
T2D-118A_GL0013346  [gene]  locus=scaffold9806_4:2:250:+ [Lack 5'-end] codon-table.11	NA	6668.39
T2D-11A_GL0016640  [gene]  locus=scaffold147_14:1800:3308:- [Complete] codon-table.11	40132.8	36815.2
T2D-11A_GL0017526  [gene]  locus=scaffold52170_1:1:1050:- [Lack 3'-end] codon-table.11	7003.93	2811.03
T2D-11A_GL0159105  [gene]  locus=scaffold61490_1:8:385:- [Complete] codon-table.11	152729	576683
T2D-123A_GL0023222  [gene]  locus=scaffold24425_1:179:1294:- [Complete] codon-table.11	48604.8	NA
T2D-123A_GL0138790  [gene]  locus=scaffold19857_3:734:1993:- [Complete] codon-table.11	20663.1	15865.5
T2D-135A_GL0085761  [gene]  locus=scaffold47830_1:49179:51464:+ [Complete] codon-table.11	124746	4277.57
T2D-135A_GL0119532  [gene]  locus=scaffold41848_1:1341:3551:- [Lack 5'-end] codon-table.11	10620.8	8210.2
T2D-140A_GL0042284  [gene]  locus=scaffold6191_1:3:491:- [Lack 3'-end] codon-table.11	8604.56	NA
T2D-140A_GL0094866  [gene]  locus=C762853_1:1:765:- [Lack both ends] codon-table.11	7400.54	NA
T2D-146A_GL0061511  [gene]  locus=scaffold20765_1:5832:7682:+ [Complete] codon-table.11	74975.6	NA
T2D-14A_GL0076289  [gene]  locus=scaffold48826_1:6881:8530:- [Complete] codon-table.11	218633	76472.3
T2D-155A_GL0006484  [gene]  locus=scaffold31716_2:1194:2222:- [Complete] codon-table.11	382992	NA
T2D-163A_GL0074891  [gene]  locus=scaffold14924_1:41640:42410:+ [Lack 3'-end] codon-table.11	2230.71	NA
T2D-19A_GL0112307  [gene]  locus=scaffold7059_4:345:1268:- [Complete] codon-table.11	227017	NA
T2D-22A_GL0004582  [gene]  locus=scaffold46622_2:403:909:- [Lack 5'-end] codon-table.11	NA	2231.22
T2D-29A_GL0087222  [gene]  locus=scaffold24600_5:2:877:+ [Lack both ends] codon-table.11	17267.5	8465.02
T2D-2A_GL0042169  [gene]  locus=scaffold14499_1:2:682:- [Lack both ends] codon-table.11	5289.9	NA
T2D-31A_GL0017629  [gene]  locus=scaffold43016_1:26597:27706:- [Complete] codon-table.11	NA	4419.26
T2D-31A_GL0068466  [gene]  locus=scaffold33525_3:41:829:+ [Lack 3'-end] codon-table.11	92677.1	37288.9
T2D-31A_GL0076719  [gene]  locus=scaffold30865_1:89728:90939:+ [Complete] codon-table.11	20634.5	30480.7
T2D-33A_GL0090503  [gene]  locus=scaffold6372_3:45352:46635:+ [Complete] codon-table.11	23961.8	19425.1
T2D-33A_GL0119486  [gene]  locus=scaffold59439_1:9071:10363:- [Complete] codon-table.11	10303.1	15506.9
T2D-45A_GL0141028  [gene]  locus=scaffold20076_3:531:2255:- [Lack 5'-end] codon-table.11	112634	3778.77
T2D-45A_GL0146717  [gene]  locus=scaffold26083_1:371:766:- [Lack 5'-end] codon-table.11	46094.8	NA
T2D-47A_GL0144718  [gene]  locus=scaffold28318_4:286:852:- [Lack 5'-end] codon-table.11	133772	2759.08
T2D-49A_GL0055834  [gene]  locus=scaffold6378_3:3:2552:+ [Lack 5'-end] codon-table.11	NA	3302.62
T2D-51A_GL0053560  [gene]  locus=C1065656_1:87:1436:- [Complete] codon-table.11	NA	5243.65
T2D-51A_GL0153538  [gene]  locus=scaffold31800_5:95:679:+ [Complete] codon-table.11	1.57243e+06	217240
T2D-57A_GL0056046  [gene]  locus=scaffold49359_1:3:200:+ [Lack 5'-end] codon-table.11	18730.7	5440.23
T2D-62A_GL0010402  [gene]  locus=scaffold13754_1:27847:30252:+ [Complete] codon-table.11	NA	2250.22
T2D-62A_GL0016915  [gene]  locus=scaffold6398_1:219:2330:- [Complete] codon-table.11	4694.6	17869.6
T2D-63A_GL0011150  [gene]  locus=scaffold33559_1:259:750:+ [Lack 3'-end] codon-table.11	124856	128888
T2D-63A_GL0065674  [gene]  locus=scaffold8651_1:16318:17805:- [Complete] codon-table.11	8803.21	NA
T2D-66A_GL0076810  [gene]  locus=scaffold26967_1:1523:2080:+ [Complete] codon-table.11	NA	2706.6
T2D-68A_GL0003999  [gene]  locus=scaffold34468_1:77476:79575:+ [Complete] codon-table.11	21836.3	NA
T2D-68A_GL0058436  [gene]  locus=scaffold25202_1:33501:34700:+ [Complete] codon-table.11	45559.7	NA
T2D-68A_GL0060685  [gene]  locus=scaffold304_2:1422:4088:- [Lack 5'-end] codon-table.11	NA	14483.8
T2D-76A_GL0031068  [gene]  locus=scaffold23959_1:131:682:- [Lack 5'-end] codon-table.11	18207.6	9255.67
T2D-8A_GL0019548  [gene]  locus=scaffold40477_1:23844:25244:+ [Complete] codon-table.11	26853.5	NA
T2D-8A_GL0076399  [gene]  locus=scaffold16844_2:3:1664:- [Lack 3'-end] codon-table.11	6569.17	NA
V1.CD12-3_GL0027030  [gene]  locus=scaffold3984_7:51733:52584:- [Complete] codon-table.11	NA	15859.1
V1.CD15-3_GL0046367  [gene]  locus=scaffold50005_1:2942:3712:- [Complete] codon-table.11	12315.6	24624.9
V1.CD15-3_GL0105671  [gene]  locus=scaffold27047_2:3442:5694:- [Complete] codon-table.11	NA	8613.44
V1.CD16-0_GL0066099  [gene]  locus=scaffold77224_4:6615:6851:- [Lack 5'-end] codon-table.11	2633.76	18601.9
V1.CD18-3_GL0001732  [gene]  locus=scaffold12343_2:1608:3713:+ [Complete] codon-table.11	30709.3	15293.5
V1.CD20-4_GL0090266  [gene]  locus=scaffold68012_1:33:923:- [Lack 5'-end] codon-table.11	17713.6	NA
V1.CD20-4_GL0113357  [gene]  locus=scaffold69221_1:4542:5726:- [Complete] codon-table.11	NA	6174.55
V1.CD21-0_GL0032301  [gene]  locus=scaffold10_5:4288:5847:- [Complete] codon-table.11	19415.4	NA
V1.CD21-0_GL0043370  [gene]  locus=scaffold21790_1:2:1123:- [Lack 3'-end] codon-table.11	85028.6	28154.9
V1.CD21-0_GL0063243  [gene]  locus=scaffold5274_3:463:1785:- [Complete] codon-table.11	NA	13884.7
V1.CD22-0_GL0140481  [gene]  locus=scaffold97207_1:401:1507:- [Complete] codon-table.11	1912.78	NA
V1.CD25-0_GL0078316  [gene]  locus=scaffold3575_24:180:1304:- [Complete] codon-table.11	2979.05	2571.93
V1.CD3-0-PN_GL0040984  [gene]  locus=scaffold14110_3:1:957:- [Lack 3'-end] codon-table.11	11681.6	6002.85
V1.CD3-0-PN_GL0042405  [gene]  locus=scaffold39053_4:3:1835:+ [Lack both ends] codon-table.11	25184.7	4764.82
V1.CD3-0-PN_GL0056499  [gene]  locus=scaffold41914_3:37837:40077:- [Complete] codon-table.11	11102.6	6800.46
V1.CD3-0-PN_GL0090600  [gene]  locus=scaffold39005_4:996:1532:+ [Lack 3'-end] codon-table.11	15113.6	13805.3
V1.CD3-0-PN_GL0107865  [gene]  locus=scaffold46956_2:105:515:+ [Lack 3'-end] codon-table.11	NA	49308.8
V1.CD3-0-PN_GL0126652  [gene]  locus=scaffold48540_2:5493:6812:+ [Complete] codon-table.11	NA	7645.34
V1.CD3-0-PT_GL0058972  [gene]  locus=scaffold261_6:174728:176266:+ [Complete] codon-table.11	27900.8	NA
V1.CD3-0-PT_GL0063334  [gene]  locus=scaffold15026_3:26615:27553:- [Complete] codon-table.11	46109.5	NA
V1.CD3-0-PT_GL0084305  [gene]  locus=scaffold16442_1:353:667:- [Lack 5'-end] codon-table.11	123523	NA
V1.CD32-4_GL0115466  [gene]  locus=scaffold20189_9:9509:12169:- [Complete] codon-table.11	109553	39430.9
V1.CD4-0-PN_GL0157440  [gene]  locus=scaffold84880_1:9615:11219:- [Complete] codon-table.11	26000.4	28000.3
