Protein.Group	b14_27	b14_01	b14_02	b14_10	b14_20	b14_21	b14_24
MH0035_GL0049006  [gene]  locus=scaffold418_1:12366:13286:- [Complete] codon-table.11	68573.5	64852	38907.6	111571	98137.4	22461.5	53222.2
MH0035_GL0054364  [gene]  locus=scaffold25478_1:1759:3381:+ [Complete] codon-table.11	NA	2571.75	NA	NA	3950.92	NA	3070.9
MH0037_GL0001414  [gene]  locus=scaffold44295_2:2488:4014:+ [Complete] codon-table.11	NA	NA	NA	19128.6	12443.8	24588.5	18271.1
MH0037_GL0013923  [gene]  locus=scaffold19589_2:15494:16831:+ [Complete] codon-table.11	414574	376817	137733	223796	323982	78016.6	403223
MH0037_GL0054773  [gene]  locus=scaffold24377_5:9881:10438:+ [Complete] codon-table.11	NA	18944.4	10979.4	28600.9	NA	NA	19257.4
MH0039_GL0044146  [gene]  locus=scaffold9172_1:2965:5502:- [Complete] codon-table.11	17241.3	12066.4	NA	NA	NA	NA	8641.29
MH0039_GL0047513  [gene]  locus=scaffold9830_1:9055:11184:- [Complete] codon-table.11	27814.4	47564.2	13916.7	19223.8	NA	30483	26191
MH0041_GL0016776  [gene]  locus=scaffold17723_9:3685:4065:+ [Complete] codon-table.11	25687.6	97214.8	24085.7	NA	48322.6	NA	9712.64
MH0043_GL0013824  [gene]  locus=scaffold49959_1:3:521:+ [Lack both ends] codon-table.11	22453.1	16805.5	NA	NA	14688.1	8667.31	12053.4
MH0045_GL0054558  [gene]  locus=scaffold14900_1:322:732:+ [Complete] codon-table.11	NA	3473.89	6625.31	3778.99	6922.27	NA	2525.66
MH0046_GL0038096  [gene]  locus=scaffold8379_1:11142:12416:- [Complete] codon-table.11	31303.5	19675.6	23215	8771.71	20073.2	3404.79	9645.87
MH0046_GL0049345  [gene]  locus=scaffold15756_1:2070:3650:- [Complete] codon-table.11	NA	NA	NA	NA	20438.3	NA	NA
MH0047_GL0010726  [gene]  locus=scaffold623_5:26118:27278:- [Complete] codon-table.11	71170.5	32708.1	6138.75	31139.8	10446.5	27934.2	62224.8
MH0047_GL0036394  [gene]  locus=scaffold10973_2:6796:7989:- [Complete] codon-table.11	1.73047e+06	1.86612e+06	818699	1.77899e+06	2.59012e+06	1.92241e+06	1.95341e+06
MH0047_GL0038084  [gene]  locus=scaffold32653_1:1714:2814:+ [Complete] codon-table.11	NA	4818.95	4862.67	NA	21821.4	NA	NA
MH0047_GL0039022  [gene]  locus=scaffold22469_2:4147:5421:+ [Complete] codon-table.11	NA	14331.6	10645.2	NA	6838.66	NA	NA
MH0050_GL0032595  [gene]  locus=scaffold6734_2:3402:4313:- [Complete] codon-table.11	NA	32414	26387.3	NA	16544.1	NA	NA
MH0055_GL0012904  [gene]  locus=scaffold12748_8:44429:46396:- [Complete] codon-table.11	NA	8042.95	15007.9	NA	NA	NA	NA
MH0055_GL0013021  [gene]  locus=scaffold5012_3:13560:14381:- [Complete] codon-table.11	NA	56299	54544.1	NA	NA	NA	NA
MH0055_GL0042560  [gene]  locus=scaffold2132_24:2:421:+ [Lack 5'-end] codon-table.11	8525.02	10585.1	23096.9	13434.6	NA	26941	57669.8
MH0055_GL0056634  [gene]  locus=scaffold23420_4:160:714:- [Complete] codon-table.11	5703.09	NA	NA	NA	NA	NA	3712.24
MH0055_GL0059787  [gene]  locus=scaffold14603_4:3560:3793:+ [Complete] codon-table.11	79443.4	23423	12136	27540	NA	43894.8	24792.9
MH0057_GL0000596  [gene]  locus=scaffold21756_1:10413:14699:- [Complete] codon-table.11	8541.34	NA	NA	NA	31533.5	NA	NA
MH0057_GL0001908  [gene]  locus=scaffold4543_2:18886:21912:- [Complete] codon-table.11	59023.2	41325.5	25341.9	22476.6	NA	41664.1	73799.1
MH0057_GL0016580  [gene]  locus=scaffold7813_2:70624:71892:- [Complete] codon-table.11	40815.2	206044	76432.1	54752.6	86026.7	68286.3	46252.1
MH0057_GL0018775  [gene]  locus=scaffold3775_2:10396:12717:- [Complete] codon-table.11	31722.9	17091.5	12018.8	26699.7	NA	68368	64448.5
MH0057_GL0023760  [gene]  locus=scaffold27687_1:4294:5481:- [Complete] codon-table.11	NA	4930.94	4844.08	NA	NA	NA	NA
MH0057_GL0024940  [gene]  locus=scaffold2661_2:4393:5457:- [Complete] codon-table.11	NA	22899.8	41915.4	8102.53	19297.3	NA	5592.96
MH0057_GL0035401  [gene]  locus=scaffold2274_1:25628:26671:+ [Complete] codon-table.11	NA	83187	80455.9	12614.6	45834.4	NA	11488.9
MH0061_GL0042306  [gene]  locus=scaffold27479_1:8666:9847:+ [Complete] codon-table.11	33091.4	15014.4	78549.3	NA	NA	NA	17302.5
MH0063_GL0005273  [gene]  locus=scaffold11292_2:2592:4385:+ [Lack 3'-end] codon-table.11	NA	22847.2	225931	NA	131963	NA	NA
MH0065_GL0033031  [gene]  locus=scaffold28334_1:315:2345:+ [Complete] codon-table.11	NA	NA	NA	NA	4260.84	4344.96	NA
MH0067_GL0024690  [gene]  locus=scaffold27079_1:164:550:+ [Complete] codon-table.11	37641.8	119769	12118.8	17338.1	77170.7	7132.5	14481.7
MH0069_GL0051054  [gene]  locus=scaffold6973_1:299:856:+ [Complete] codon-table.11	21950.5	28388.6	5206.92	8142.26	23036.3	10890.9	15570.7
MH0069_GL0062737  [gene]  locus=scaffold7366_1:1443:1703:+ [Lack 3'-end] codon-table.11	13482.6	10967.7	8923.65	7890.78	9815	NA	9584.94
MH0069_GL0065137  [gene]  locus=scaffold4867_1:1:246:+ [Lack 5'-end] codon-table.11	234720	312035	178400	418111	356490	9524.74	218755
MH0069_GL0078305  [gene]  locus=scaffold16771_2:17758:18186:- [Complete] codon-table.11	18206.5	168517	99132.5	14819.8	101263	NA	5272.91
MH0070_GL0000448  [gene]  locus=scaffold10072_3:388:1275:+ [Complete] codon-table.11	NA	NA	NA	NA	NA	2930.79	NA
MH0071_GL0042226  [gene]  locus=scaffold29869_3:1949:2392:- [Complete] codon-table.11	99058.1	168754	51073.1	304741	113012	57007.3	69173.2
MH0074_GL0068292  [gene]  locus=scaffold41595_2:24801:26327:- [Complete] codon-table.11	10565.6	33414.4	4495.82	5167.92	NA	17654.7	19113.9
MH0076_GL0052556  [gene]  locus=scaffold44954_1:3333:3950:+ [Complete] codon-table.11	52957	182476	59970.9	46170.9	69071.1	64727.4	62214.6
MH0077_GL0035462  [gene]  locus=scaffold44732_1:3:260:+ [Lack 5'-end] codon-table.11	20282.3	105862	25346.8	121859	45177.3	13936.6	65254.2
MH0077_GL0049008  [gene]  locus=scaffold23411_3:40672:43083:+ [Complete] codon-table.11	NA	19808.1	7173.02	14970.3	6334.7	NA	4996.7
MH0083_GL0030394  [gene]  locus=scaffold41741_4:20927:22210:+ [Complete] codon-table.11	NA	25583.2	45052	NA	18447.4	NA	5889.52
MH0086_GL0112737  [gene]  locus=scaffold4985_33:1261:3891:- [Complete] codon-table.11	NA	38129.1	47017.4	42935.3	56234.1	30722.1	25774.6
MH0087_GL0000047  [gene]  locus=scaffold4355_7:65:541:+ [Complete] codon-table.11	NA	5725.02	NA	7466.39	NA	NA	5239.28
MH0088_GL0029926  [gene]  locus=scaffold62925_5:13743:14837:- [Complete] codon-table.11	NA	21574.2	NA	NA	12392.9	7201.86	12367.7
MH0088_GL0047812  [gene]  locus=scaffold61645_3:3:866:- [Lack 5'-end] codon-table.11	18559.4	NA	NA	NA	NA	NA	NA
MH0088_GL0062493  [gene]  locus=scaffold15642_5:5672:7168:+ [Complete] codon-table.11	NA	30243.1	NA	17421.8	44098.5	NA	31688.1
MH0088_GL0081920  [gene]  locus=scaffold15020_24:194:1150:+ [Complete] codon-table.11	NA	13820.9	10741.7	NA	NA	NA	NA
MH0088_GL0090143  [gene]  locus=scaffold37168_13:288:1754:- [Complete] codon-table.11	NA	28774.9	8248.63	65193.5	22558.2	7382.93	9026.65
MH0088_GL0094142  [gene]  locus=scaffold14013_4:1973:2653:- [Complete] codon-table.11	NA	NA	NA	15881.3	16061.6	NA	10592.5
MH0088_GL0106141  [gene]  locus=scaffold3681_37:427:921:- [Complete] codon-table.11	NA	NA	NA	NA	4773.69	11168.4	NA
MH0088_GL0107046  [gene]  locus=scaffold3235_6:916:1284:+ [Complete] codon-table.11	NA	5750.91	NA	45436	NA	27879.8	5894.26
MH0090_GL0002748  [gene]  locus=scaffold72457_1:38495:38740:+ [Complete] codon-table.11	17999.1	67510.9	43825.5	14145.2	16655.7	NA	9571.58
MH0091_GL0020742  [gene]  locus=scaffold38267_12:6516:8042:+ [Complete] codon-table.11	NA	39155.4	NA	NA	NA	NA	NA
MH0091_GL0025092  [gene]  locus=scaffold18447_17:654:2441:- [Complete] codon-table.11	NA	8631.25	NA	NA	NA	NA	NA
MH0092_GL0040972  [gene]  locus=C1457098_1:146:679:+ [Complete] codon-table.11	20927	25715.9	17683.1	11405.6	10727.5	28445	19107.6
MH0092_GL0059282  [gene]  locus=scaffold24012_6:6032:9373:+ [Complete] codon-table.11	NA	21021.7	27214.1	NA	14825	NA	NA
MH0092_GL0140375  [gene]  locus=scaffold10033_22:11147:13237:- [Complete] codon-table.11	NA	11045.6	22601.9	12185.6	9537.78	NA	13912.9
MH0093_GL0010665  [gene]  locus=scaffold696_2:7290:8045:- [Complete] codon-table.11	NA	18734.5	8926.17	17822.5	6498.32	19244.6	29298.2
MH0094_GL0075871  [gene]  locus=scaffold33864_1:2:457:- [Lack 3'-end] codon-table.11	26856.2	NA	NA	NA	NA	50450.6	13570.8
MH0094_GL0107622  [gene]  locus=scaffold53895_3:5934:7679:+ [Complete] codon-table.11	NA	NA	NA	NA	NA	10535.5	11968.3
MH0096_GL0013876  [gene]  locus=scaffold16120_3:6442:7896:+ [Complete] codon-table.11	65571.3	120696	27761.1	154702	87211.7	48044	44185.4
MH0100_GL0114735  [gene]  locus=scaffold52094_9:1210:3852:- [Complete] codon-table.11	29924.3	17950.2	22658.3	29888.5	26673.6	15840.5	19280.8
MH0100_GL0127516  [gene]  locus=scaffold25263_24:212:730:+ [Complete] codon-table.11	292568	328748	172871	682218	483485	220363	306260
MH0100_GL0129471  [gene]  locus=scaffold8032_1:959:2164:- [Complete] codon-table.11	308198	270636	240798	248543	445390	63668.9	195865
MH0101_GL0010334  [gene]  locus=scaffold33614_4:10185:11792:- [Complete] codon-table.11	NA	48738.7	37108.2	NA	29984.2	NA	NA
MH0102_GL0050400  [gene]  locus=scaffold10351_1:45176:47419:+ [Complete] codon-table.11	NA	47996.8	NA	68509.4	17914.9	NA	46086.8
MH0102_GL0062733  [gene]  locus=scaffold51879_3:66920:69154:+ [Complete] codon-table.11	36726.3	NA	55101.8	29533.5	51351.8	18912.4	33863.3
MH0102_GL0131793  [gene]  locus=scaffold18891_5:120:374:- [Complete] codon-table.11	21283.5	29142.6	51448.2	123853	19457.4	20171.2	14196
MH0103_GL0067022  [gene]  locus=scaffold22849_3:11:1441:+ [Complete] codon-table.11	7214.02	166162	121988	295310	137365	87827.1	101425
MH0104_GL0015180  [gene]  locus=scaffold116794_1:3:635:+ [Lack both ends] codon-table.11	NA	1383.89	NA	1223.96	NA	NA	NA
MH0107_GL0053514  [gene]  locus=scaffold24612_14:875:1309:- [Complete] codon-table.11	11933.9	11808.2	NA	11179.9	NA	NA	5268.44
MH0107_GL0113046  [gene]  locus=scaffold98830_1:24346:25989:- [Complete] codon-table.11	22260.9	24244	8235.64	99469.9	13375.5	NA	37546
MH0110_GL0025297  [gene]  locus=scaffold1370_2:7987:10617:+ [Complete] codon-table.11	295934	389211	132764	693065	338900	190938	205722
MH0110_GL0034529  [gene]  locus=scaffold54626_5:12050:13447:+ [Complete] codon-table.11	24165.6	NA	NA	59956.5	NA	NA	16810.9
MH0113_GL0003321  [gene]  locus=scaffold23972_30:808:2697:- [Complete] codon-table.11	131323	242976	78985.4	357059	288615	168116	199992
MH0113_GL0037816  [gene]  locus=scaffold75803_3:2715:5969:+ [Complete] codon-table.11	193128	558618	333555	124565	145857	77565	162324
MH0113_GL0085823  [gene]  locus=scaffold13666_8:147:1220:- [Complete] codon-table.11	11498.5	13227.1	NA	NA	NA	NA	5616.02
MH0116_GL0116313  [gene]  locus=scaffold1120_25_2:29:736:- [Complete] codon-table.11	7556.52	38528.4	NA	NA	NA	NA	11579.5
MH0116_GL0133348  [gene]  locus=scaffold7924_1:286:852:+ [Complete] codon-table.11	NA	NA	7535.31	8913.63	6070.05	NA	4147.05
MH0119_GL0114321  [gene]  locus=scaffold31851_4:323:1459:+ [Complete] codon-table.11	NA	NA	NA	NA	NA	4331.18	NA
MH0122_GL0076036  [gene]  locus=scaffold9888_13:2:637:+ [Lack 5'-end] codon-table.11	NA	14693.8	10438.9	32573.2	NA	10602.6	10792.6
MH0122_GL0076627  [gene]  locus=scaffold36241_4:686:2254:- [Complete] codon-table.11	14669.9	NA	14805.1	6508.75	7873.26	NA	11225
MH0122_GL0102458  [gene]  locus=scaffold15481_4:21000:22307:- [Complete] codon-table.11	NA	NA	16571.3	NA	NA	10823.8	11412.9
MH0124_GL0004871  [gene]  locus=scaffold98603_1:25539:28238:+ [Complete] codon-table.11	68263.6	67581.5	119061	37591.3	NA	7915.52	51758.3
MH0124_GL0059575  [gene]  locus=scaffold81527_4:2642:3334:+ [Complete] codon-table.11	13863.6	29145.7	167092	26714.8	NA	9894.45	16507.6
MH0124_GL0087622  [gene]  locus=scaffold17220_2:49710:51206:- [Complete] codon-table.11	NA	129766	34172.9	113330	97274.1	34980.9	137187
MH0124_GL0143174  [gene]  locus=scaffold80274_6:11485:13302:+ [Complete] codon-table.11	113407	91457.8	12489.9	139992	NA	9593.34	38614.8
MH0125_GL0073399  [gene]  locus=scaffold1078_1:3781:8082:+ [Complete] codon-table.11	90049.4	118419	74312.2	87054.2	112363	36255.6	75124.3
MH0126_GL0001187  [gene]  locus=scaffold90753_2:45726:47108:- [Complete] codon-table.11	NA	10998.7	NA	NA	NA	5090.25	6423.13
MH0126_GL0019349  [gene]  locus=scaffold42195_5:3099:5663:- [Complete] codon-table.11	NA	34826.6	NA	10637.8	NA	22890	27651.7
MH0126_GL0122878  [gene]  locus=scaffold17457_3:635:1000:+ [Lack 3'-end] codon-table.11	NA	NA	4936.86	NA	9898.73	NA	NA
MH0130_GL0013384  [gene]  locus=C920416_1:147:563:- [Complete] codon-table.11	NA	29358.1	46326.9	NA	20619.6	NA	NA
MH0130_GL0067967  [gene]  locus=scaffold35377_1:546:2063:- [Complete] codon-table.11	18812.6	46559.6	83184.3	NA	38471.8	NA	NA
MH0130_GL0077888  [gene]  locus=scaffold1658_1:6472:6837:+ [Complete] codon-table.11	6026.06	219844	NA	35627.1	NA	35185.6	9929.41
MH0131_GL0041219  [gene]  locus=scaffold20378_10:1233:2561:- [Complete] codon-table.11	42833.9	27275.6	44520.7	19671.3	35229.3	NA	15348
MH0131_GL0089619  [gene]  locus=scaffold79399_1:1:525:+ [Lack both ends] codon-table.11	267545	205118	113443	188437	174606	27856.8	184297
MH0131_GL0110658  [gene]  locus=scaffold20572_3:429:1700:- [Complete] codon-table.11	217248	228365	297687	220477	202666	8546	285224
MH0131_GL0135871  [gene]  locus=scaffold43_8:114:2027:+ [Complete] codon-table.11	41167.5	36912.4	31988.2	28878.7	71146.7	NA	25226.8
MH0131_GL0154213  [gene]  locus=scaffold56856_2:309:1688:+ [Complete] codon-table.11	56935.1	11990	127514	67214.4	60748.1	104431	114740
MH0135_GL0007871  [gene]  locus=scaffold39067_3:466:1095:+ [Complete] codon-table.11	NA	17542.5	NA	13606.6	NA	16367	NA
MH0135_GL0082397  [gene]  locus=scaffold8650_2:28:1614:- [Complete] codon-table.11	48573.4	88672.7	57965.1	47739.6	59841.3	NA	44251.6
MH0135_GL0099849  [gene]  locus=scaffold12189_21:953:2287:+ [Complete] codon-table.11	93729.4	95848.6	82992.4	42333.3	161179	NA	53893.9
MH0136_GL0083951  [gene]  locus=scaffold4214_4:2248:3681:+ [Complete] codon-table.11	84780.4	89105.1	80845.3	45093.4	116978	31135.1	90040.6
MH0140_GL0038860  [gene]  locus=scaffold81140_2:42240:44354:- [Complete] codon-table.11	20153.1	13185.9	NA	23401.5	NA	NA	NA
MH0140_GL0038883  [gene]  locus=scaffold81140_2:67126:68832:- [Complete] codon-table.11	NA	NA	NA	8132.76	NA	NA	NA
MH0140_GL0046792  [gene]  locus=scaffold51631_2:2:298:+ [Lack 5'-end] codon-table.11	59100.9	102602	54782.8	62691.8	60824.5	48648.9	40978
MH0140_GL0086517  [gene]  locus=scaffold89815_4:3128:3631:+ [Complete] codon-table.11	NA	7262.55	NA	NA	NA	NA	NA
MH0141_GL0094531  [gene]  locus=scaffold4355_2:2373:3755:+ [Complete] codon-table.11	928650	360743	103161	460731	386862	566641	580773
MH0143_GL0009130  [gene]  locus=scaffold8249_1:3610:4782:+ [Complete] codon-table.11	7501.4	28579.6	27922.5	67475.6	16951.1	33886.1	21223.2
MH0143_GL0027970  [gene]  locus=scaffold101975_6:2115:3569:+ [Complete] codon-table.11	NA	7013.31	NA	4816.72	NA	2674.49	NA
MH0143_GL0060465  [gene]  locus=scaffold15227_4:1087:1626:+ [Complete] codon-table.11	8397.55	6080.36	NA	NA	NA	NA	8965.9
MH0143_GL0064120  [gene]  locus=scaffold26663_6:746:2155:- [Complete] codon-table.11	148247	105980	95003.3	116472	134594	88129.4	101832
MH0143_GL0076916  [gene]  locus=scaffold32491_12:881:1297:+ [Complete] codon-table.11	174170	265270	252838	109676	621533	125601	182527
MH0143_GL0159952  [gene]  locus=scaffold4780_12:4130:4822:+ [Complete] codon-table.11	53073	244479	304031	56409.8	125274	19033.1	58325.3
MH0144_GL0012049  [gene]  locus=scaffold86820_3:7517:10717:- [Complete] codon-table.11	NA	NA	22095.8	NA	13671.9	NA	NA
MH0144_GL0085682  [gene]  locus=scaffold93115_8:2254:3084:- [Complete] codon-table.11	81380.5	222597	55721.1	63948.1	154789	36131.9	61332.4
MH0145_GL0030522  [gene]  locus=scaffold121365_4:19023:20084:- [Complete] codon-table.11	NA	27130	35887.6	NA	16330.8	NA	NA
MH0147_GL0020541  [gene]  locus=scaffold3895_10:193:546:- [Complete] codon-table.11	59681.9	124303	242874	264269	123503	120217	97557.4
MH0147_GL0070598  [gene]  locus=scaffold37410_6:34:1656:- [Complete] codon-table.11	207793	212347	167024	132783	155074	41530	95892
MH0149_GL0085441  [gene]  locus=scaffold3870_17:11427:12134:+ [Complete] codon-table.11	65619.1	126590	33102.9	129981	78389.8	67689.4	91072.2
MH0151_GL0025677  [gene]  locus=scaffold12006_1:8470:9759:- [Complete] codon-table.11	56813.6	82187.5	228549	26140.7	91572.7	NA	27555.1
MH0152_GL0013968  [gene]  locus=scaffold1212_12:667:1602:+ [Complete] codon-table.11	19655.4	45261.3	82211.7	24834	69968.9	NA	18083.1
MH0152_GL0080942  [gene]  locus=scaffold33886_22:158:1711:+ [Complete] codon-table.11	46411.5	105154	44304.3	77142.9	46412.8	56046.6	91228
MH0157_GL0038338  [gene]  locus=scaffold48715_12:299:898:- [Complete] codon-table.11	12394	42280.4	106797	16658.2	35183.5	NA	11550.5
MH0157_GL0094076  [gene]  locus=scaffold20874_19:1437:2270:- [Complete] codon-table.11	11803.9	12484.5	4048.53	7664.03	13153.5	2537.6	NA
MH0157_GL0125105  [gene]  locus=scaffold30650_18:3:548:+ [Lack both ends] codon-table.11	113128	193375	59651.6	454793	242343	75081.6	99280.4
MH0163_GL0005160  [gene]  locus=scaffold68347_1:17977:18747:+ [Complete] codon-table.11	NA	12445.5	15416.9	NA	6814.8	NA	NA
MH0164_GL0060041  [gene]  locus=scaffold9392_14:7067:7618:+ [Complete] codon-table.11	62382.2	108571	115058	31752.6	48118.7	86496.4	71858.4
MH0172_GL0094809  [gene]  locus=scaffold31721_1:2:1087:+ [Lack 5'-end] codon-table.11	NA	33872.8	NA	NA	NA	NA	NA
MH0172_GL0127064  [gene]  locus=scaffold15153_1:6321:7250:+ [Complete] codon-table.11	NA	9631.54	7577.67	10055.8	4270.15	3132.62	5429.75
MH0178_GL0043032  [gene]  locus=scaffold63383_1:14981:18076:+ [Complete] codon-table.11	NA	NA	NA	11154	NA	NA	NA
MH0181_GL0002451  [gene]  locus=scaffold75612_1:2529:6860:- [Complete] codon-table.11	27975.7	24854.6	17064.3	NA	11982.4	NA	NA
MH0185_GL0020303  [gene]  locus=scaffold37503_7:2:961:+ [Lack 5'-end] codon-table.11	10331.5	68076.4	166705	8559.96	54717	NA	5331.96
MH0185_GL0062621  [gene]  locus=scaffold14438_4:3:1481:+ [Lack 5'-end] codon-table.11	79132.7	240051	269258	60427.5	133806	NA	28421.1
MH0187_GL0088968  [gene]  locus=C1138128_1:874:1821:+ [Complete] codon-table.11	42522.6	176964	120108	38568.4	55404.4	NA	11352
MH0188_GL0027885  [gene]  locus=scaffold20912_10:1690:2409:- [Lack 5'-end] codon-table.11	NA	NA	6858.12	13449	4467.93	NA	NA
MH0188_GL0088680  [gene]  locus=scaffold57666_1:1:1902:+ [Lack 5'-end] codon-table.11	73548.9	65032.6	41881.9	171322	79649.1	26361.3	48935.4
MH0188_GL0089797  [gene]  locus=scaffold28458_1:16536:17315:+ [Complete] codon-table.11	10557	NA	26707.3	15412.5	13069	19137.2	23014.8
MH0188_GL0154587  [gene]  locus=scaffold107021_1:7330:8673:+ [Complete] codon-table.11	NA	12160.9	NA	NA	15469.4	NA	NA
MH0189_GL0011618  [gene]  locus=scaffold52067_2:2598:3989:+ [Complete] codon-table.11	45166.7	NA	NA	23780.3	6894.56	7445.34	11119.3
MH0189_GL0016411  [gene]  locus=scaffold31315_17:2:484:+ [Lack 5'-end] codon-table.11	NA	NA	NA	6089.73	NA	6110.42	5150.68
MH0189_GL0025386  [gene]  locus=scaffold34704_1:81688:82554:- [Complete] codon-table.11	NA	109468	10932.5	16242.4	20006.4	57268.2	28644.4
MH0189_GL0044111  [gene]  locus=scaffold24883_3:79:1764:- [Complete] codon-table.11	NA	9607.09	5214.89	5992.06	15307.9	NA	2176.48
MH0191_GL0172336  [gene]  locus=scaffold81325_4:171:1385:+ [Complete] codon-table.11	NA	6474.49	NA	8686.78	NA	NA	NA
MH0192_GL0022877  [gene]  locus=scaffold46081_5:330:962:- [Lack 5'-end] codon-table.11	73566.6	167706	79065.4	428120	129195	54254.5	56711.3
MH0192_GL0026361  [gene]  locus=scaffold23855_5:291:803:- [Lack 5'-end] codon-table.11	22709.7	94217.4	42815.7	39132.1	145479	1535.56	74793.1
MH0193_GL0012773  [gene]  locus=scaffold35712_4:4860:8516:+ [Complete] codon-table.11	238113	426582	371717	467284	401410	117712	267733
MH0193_GL0057191  [gene]  locus=scaffold35935_9:890:1108:+ [Complete] codon-table.11	4073.37	17736.4	34098.3	4313.04	17200.7	NA	4057.96
MH0193_GL0168892  [gene]  locus=scaffold13802_1:36752:37963:+ [Complete] codon-table.11	47637.6	34626.6	21539.5	64738.5	44388.1	18829.4	35098.2
MH0193_GL0170762  [gene]  locus=scaffold100650_1:47889:49550:- [Complete] codon-table.11	NA	NA	NA	NA	NA	44077.5	NA
MH0193_GL0185667  [gene]  locus=scaffold47270_2:28675:29685:+ [Complete] codon-table.11	30373	127325	14455.4	29185.1	8978.52	26163.4	37839.5
MH0195_GL0090764  [gene]  locus=scaffold67953_1:4870:6462:- [Complete] codon-table.11	NA	37277.7	16712	32367.8	18843.2	NA	20719.8
MH0195_GL0143964  [gene]  locus=scaffold11719_17:10101:10391:- [Complete] codon-table.11	1462.28	NA	NA	NA	NA	10733.8	7993.58
MH0195_GL0157558  [gene]  locus=scaffold4699_5:166:651:- [Complete] codon-table.11	NA	NA	NA	NA	NA	4109.45	5908.94
MH0196_GL0115268  [gene]  locus=scaffold132441_1:2140:4731:- [Complete] codon-table.11	45035.3	43776.9	52251.6	28829.3	54870.2	12993.8	31882.5
MH0197_GL0112220  [gene]  locus=scaffold16482_3:231:632:- [Complete] codon-table.11	60577.8	NA	NA	29569.4	25050.6	NA	17949.6
MH0199_GL0151175  [gene]  locus=scaffold74106_2:2122:4620:+ [Complete] codon-table.11	NA	15930.8	NA	NA	NA	NA	NA
MH0200_GL0110436  [gene]  locus=scaffold139_1:12326:13237:+ [Complete] codon-table.11	NA	88856.2	197075	44521.8	87494.3	31341	40235.1
MH0200_GL0196781  [gene]  locus=scaffold24153_1:1:723:+ [Lack 5'-end] codon-table.11	3956.33	NA	NA	12379.3	NA	NA	NA
MH0203_GL0045149  [gene]  locus=scaffold151039_1:45413:46759:- [Complete] codon-table.11	318247	923951	836418	319146	766897	190461	318146
MH0203_GL0205096  [gene]  locus=scaffold72276_2:5456:7600:- [Lack 5'-end] codon-table.11	37231.3	52872.3	71889.4	NA	86833.5	NA	36437.2
MH0204_GL0076954  [gene]  locus=scaffold82546_1:3571:4095:+ [Lack 3'-end] codon-table.11	145292	138638	129596	210347	169750	54032.4	120232
MH0206_GL0111989  [gene]  locus=scaffold2752_2:1415:2989:+ [Complete] codon-table.11	1819.59	3239.23	NA	3585.48	3838.14	NA	2143.73
MH0206_GL0248934  [gene]  locus=scaffold5926_1:1:1056:+ [Lack 5'-end] codon-table.11	NA	NA	NA	NA	5424.32	NA	NA
MH0211_GL0027677  [gene]  locus=scaffold114_4:50483:52186:+ [Complete] codon-table.11	4553.89	11192.1	5821	6327.24	7681.55	NA	2086.61
MH0212_GL0006589  [gene]  locus=scaffold36994_5:3033:4376:- [Complete] codon-table.11	355526	296943	259078	448471	374429	108562	487631
MH0212_GL0049950  [gene]  locus=scaffold37465_3:1476:2588:- [Complete] codon-table.11	NA	104041	94318.5	147014	122631	23719	134174
MH0212_GL0084820  [gene]  locus=scaffold364_4:5504:6334:+ [Complete] codon-table.11	29385.1	NA	46602.6	35228	81911	NA	15220.7
MH0217_GL0160322  [gene]  locus=scaffold44939_4:446:988:- [Complete] codon-table.11	368869	159475	27391.6	293819	11023.3	125182	130038
MH0220_GL0013567  [gene]  locus=scaffold78063_1:118:1344:- [Complete] codon-table.11	NA	6947.06	NA	6074.67	NA	NA	NA
MH0222_GL0071646  [gene]  locus=scaffold43141_12:2826:6095:+ [Complete] codon-table.11	41998.4	56319.3	114531	NA	71257.7	15751.1	28832.3
MH0224_GL0070636  [gene]  locus=scaffold862_4:237:2015:+ [Complete] codon-table.11	13541.8	18388	11638.6	22155.5	17432.5	2825.22	13582.4
MH0224_GL0112161  [gene]  locus=scaffold4914_6:3:824:+ [Lack both ends] codon-table.11	15003.9	32858.2	19520.8	28760.7	30774.3	14428.4	16125.3
MH0227_GL0015156  [gene]  locus=scaffold9648_1:595:2424:- [Complete] codon-table.11	145998	111700	87289.2	121741	172111	NA	90392.6
MH0229_GL0090301  [gene]  locus=scaffold25139_1:689:1183:+ [Lack 3'-end] codon-table.11	911924	846591	566896	893827	880494	533222	1.17926e+06
MH0229_GL0141688  [gene]  locus=scaffold109647_4:1527:2645:- [Complete] codon-table.11	NA	NA	NA	3394.13	2803.46	NA	NA
MH0230_GL0059391  [gene]  locus=scaffold35288_4:3573:4442:+ [Complete] codon-table.11	NA	NA	15614.4	NA	NA	NA	9844.18
MH0230_GL0070365  [gene]  locus=scaffold40295_5:11148:13235:+ [Complete] codon-table.11	652297	297209	260520	380929	193145	242773	517997
MH0233_GL0003750  [gene]  locus=scaffold69290_2:5167:6303:+ [Complete] codon-table.11	20488.4	NA	NA	14681.2	60794.2	30311.8	39578.6
MH0233_GL0021837  [gene]  locus=scaffold35399_4:156:1172:- [Lack 5'-end] codon-table.11	NA	48761.8	12712.1	80418.5	44048.5	14493.8	24847.3
MH0233_GL0103635  [gene]  locus=C868015_1:23358:25937:+ [Complete] codon-table.11	NA	NA	NA	NA	11550.4	10533.3	13625.8
